Date,Année financière,Titre,Fournisseur,Montant,Montant (virg),Montant ($),Code UNSPSC,Type de devis,Type,Nature,Nb soumissionnaires,Numéro SEAO,Numéro de contrat UQAM
2010-08-03,2010-2011,Impression du journal UQAM ; Contrat de 2 ans,Payette et Simms inc.,62015.5,"62015,5","62 015,50 $",73151900,Services d'impression industrielle,Contrat adjugé suite à un appel d'offres public,Services,3,422967,K0-3157A(LI)
2010-08-03,2010-2011,Achat de caméscopes Sony avec accessoires,Sono Vidéo Inc.,37331.0,37331,"37 331,00 $",45121516,Caméscopes ou caméras vidéo numériques,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,429341,C1-0329A(PF)
2010-08-09,2010-2011,Fournir sur demande des pièces pour réseau de vapeur,Spirax Sarco Canada Limited,39867.11,"39867,11","39 867,11 $",40151700,Pièces et accessoires de pompe,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,440139,K0-2862-1
2010-08-17,2010-2011,Services de déménagement.  Contrat à commandes pour 1 an avec prolongation possible d’une année,Déménagement & Entreposage Bel-Aire Inc.,159468.44,"159468,44","159 468,44 $",78101804,Services de déménagement,Contrat adjugé suite à un appel d'offres public,Services,9,422873,K0-3198A(YL)
2010-08-17,2010-2011,Serveurs + maintenance,Oracle Canada ULC,105919.09,"105919,09","105 919,09 $",43222625,Serveurs d'accès,Contrat octroyé de gré à gré,Approvisionnements (biens),1,442888,C1-0697-1
2010-08-18,2010-2011,Mise à jour de GeoRadar,Sensors & Software Inc,39138.6,"39138,6","39 138,60 $",43211605,Mise à niveau de processeur de signal,Contrat octroyé de gré à gré,Approvisionnements (biens),1,443806,C1-0174-1
2010-08-24,2010-2011,Matériel Audiovisuel,Solotech Inc,51042.62,"51042,62","51 042,62 $",52161500,Équipement audiovisuel,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,445666,C1-0465-1
2010-08-26,2010-2011,Divers mandats de gestion de projets de rénovation,Planigram Construction,160000.0,160000,"160 000,00 $",80101600,Gestion de projets,Contrat adjugé suite à un appel d'offres public,Services,4,408384,P09032V2
2010-08-26,2010-2011,Divers mandats de gestion de projets de rénovation,Planigram Construction,96000.0,96000,"96 000,00 $",80101600,Gestion de projets,Contrat adjugé suite à un appel d'offres public,Services,4,408384,P09032V2
2010-08-30,2010-2011,"Fournir, installer et maintenir un réseau d'alimentation de télévision analogique de base et Télémax Plus dans les Résidences de l'Ouest",Vidéotron Ltee,124031.01,"124031,01","124 031,01 $",81111803,Soutien ou maintenance de réseau local,Contrat octroyé de gré à gré,Services,1,452092,K1-0353-1
2010-08-31,2010-2011,M-Turbo High Resolution Digital Grayscale Ultrasound System,SonoSite Canada,39836.92,"39836,92","39 836,92 $",42251623,Appareils ou fournitures à ultrasons thérapeutiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,447878,C1-0709-1
2010-09-01,2010-2011,Fournir sur demande des pièces et composantes électroniques de marque Panasonic ainsi qu'un service de réparation.,Panasonic Canada Inc..,31893.69,"31893,69","31 893,69 $",52161500,Équipement audiovisuel,Contrat octroyé de gré à gré,Approvisionnements (biens),1,449630,K1-0356-1
2010-09-21,2010-2011,Odinateur Ciara,Hypertec Systèmes (Montréal),43644.0,43644,"43 644,00 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,454326,C1-0855-1
2010-09-22,2010-2011,"Founiture sur demande de pièces et de lampes pour des projecteurs Sanyo, excluant les lampes des modèles PLCWM4500L et PLCWM4500 ",Sanyo Canada Inc.,177187.15,"177187,15","177 187,15 $",45111602,Ampoule pour projecteur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,458625,K1-0736-1
2010-09-22,2010-2011,Serveurs HP,CPU Design Inc,40800.0,40800,"40 800,00 $",43211501,Serveurs d'ordinateur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,454870,C1-0875-1
2010-09-27,2010-2011,Services conseils en évaluation des processus d'assitance technique sur des systèmes de gestion du 07 juillet 2010 au 30 avril 2011.,Claude Bissonnette Services Conseils,66445.18,"66445,18","66 445,18 $",80100000,Services conseils en gestion,Contrat octroyé de gré à gré,Services,1,456035,UQAM-SITEL-CB1
2010-10-07,2010-2011,Transport d'argent,Société commandite Garda-Secur,70874.86,"70874,86","70 874,86 $",78000000,"Services de transport, d'entreposage, de messagerie et d’aménagement de bureau",Contrat octroyé de gré à gré,Services,1,459890,K1-0654-1
2010-10-18,2010-2011,Distribution alimentaire – Contrat pour l’achat sur demande de produits alimentaires pour les cafétérias de l’Université,GFS Montréal Inc.,3433001.1,"3433001,1","3 433 001,10 $",50050000,Aliments et biens de consommation courante,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),4,420711,K0-2467A(LI)
2010-10-28,2010-2011,Service d'entretien préventif de serveurs HP,Hewlett Packard(Canada)cie,189474.51,"189474,51","189 474,51 $",81111812,Maintenance ou soutien pour le matériel informatique,Contrat octroyé de gré à gré,Services,1,479818,5000730
2010-11-02,2010-2011,Tapis roulant,Vacu-Med,40881.34,"40881,34","40 881,34 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,467083,3000696
2010-11-03,2010-2011,Achat de 2 numériseurs de livres (sous subvention FCI),Docucum Digital Inc.,99808.0,99808,"99 808,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),1,446961,C1-0434A(PF)
2010-11-08,2010-2011,Achat de 23 micro-ordinateurs Toshiba,Hypertec Systemes Inc (Ciara),26606.0,26606,"26 606,00 $",43211503,Ordinateurs portables,Contrat octroyé de gré à gré,Approvisionnements (biens),1,469030,DA1000840
2010-11-09,2010-2011,Achat de micro-ordinateurs,Micro Boutique Universitaire Inc,191794.21,"191794,21","191 794,21 $",43211503,Ordinateurs portables,Contrat octroyé de gré à gré,Approvisionnements (biens),1,469711,3000795
2010-11-09,2010-2011,Achat de 55 micro-ordinateurs de table Ciara,Hypertec Systems Inc. (Ciara),82554.99,"82554,99","82 554,99 $",32000000,Composante et accessoire électronique et électrique,Contrat octroyé de gré à gré,Approvisionnements (biens),1,469559,3000775
2010-11-09,2010-2011,Caméras et accessoires,CEV Inc..,61390.01,"61390,01","61 390,01 $",45121600,Accessoires pour appareils photographiques et caméras,Contrat octroyé de gré à gré,Approvisionnements (biens),1,469494,1000672
2010-11-09,2010-2011,Achat de multi-détecteurs,Gamble Technologie Limited,46900.0,46900,"46 900,00 $",30000000,"Composante et fourniture de structure, de bâtiment et de construction",Contrat octroyé de gré à gré,Approvisionnements (biens),1,469588,1000774
2010-11-09,2010-2011,Articles promotionnels,Association Coopérative de la collectivité de l'UQAM/Coop UQAM,35437.43,"35437,43","35 437,43 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,478014,5000757
2010-11-09,2010-2011,Entretien d'appareils de sonorisation,C.E.V. Inc.,26578.07,"26578,07","26 578,07 $",80161507,Services audiovisuels,Contrat octroyé de gré à gré,Services,1,469682,5000796
2010-11-11,2010-2011,Serveurs et système de stockage,Open Storage Solutions Inc.,46035.0,46035,"46 035,00 $",43211501,Serveurs d'ordinateur,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),5,437723,C1-0139A(SG)
2010-11-11,2010-2011,Renouvellement des licences et du support technique ,Technologies Masstor Inc.,25579.09,"25579,09","25 579,09 $",43231512,Logiciel de gestion des licences d'utilisation,Contrat octroyé de gré à gré,Approvisionnements (biens),1,468702,5000794
2010-11-15,2010-2011,Table top scanning electron microscope,Hitachi High Technologie Inc.,116980.0,116980,"116 980,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,472176,3000844
2010-11-15,2010-2011,Autoscan counting system,Autoscan,149156.0,149156,"149 156,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,472718,3000845
2010-11-19,2010-2011,Chambre luminescence,Freiberg Instruments GmbH,311624.18,"311624,18","311 624,18 $",39000000,"Composantes, accessoires et fournitures pour systèmes électriques et d'éclairage",Contrat octroyé de gré à gré,Approvisionnements (biens),1,475367,3000932
2010-11-23,2010-2011,Achat de micro-ordinateurs,Hypertec Systèmes Inc.,60700.0,60700,"60 700,00 $",44000000,"Équipement, accessoire et fourniture de bureau",Contrat octroyé de gré à gré,Approvisionnements (biens),1,473409,3000974
2010-11-23,2010-2011,High-performance liquid chromatography,AB Sciex Sales LP,50880.01,"50880,01","50 880,01 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,473574,3000983
2010-11-23,2010-2011,Achat de micro-ordinateurs,Solutions Informatiques INSO Inc.,37258.55,"37258,55","37 258,55 $",44000000,"Équipement, accessoire et fourniture de bureau",Contrat octroyé de gré à gré,Approvisionnements (biens),1,473244,3000968
2010-12-06,2010-2011,Achat d’un microscope « Atomic Force Microscope » (AFM / EFM) sous subvention FCI,Systems for Research Corp.,220418.6,"220418,6","220 418,60 $",41110000,"Instruments de mesure, d'observation et d'essai",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,380001,C0-0355A(MA)
2010-12-10,2010-2011,Achat de 300 licences McAfee Tops for Server,Converge Net 2006 Inc.,534000.0,534000,"534 000,00 $",43230000,Logiciels,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,473225,7000003
2010-12-13,2010-2011,Relocalisation Kin au SB4e - Phase 2 - Lot Construction,JCB Entrepreneurs Généraux inc.,57443.0,57443,"57 443,00 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,527666,P09025HH09
2010-12-16,2010-2011,Fournitures de produits Apple et produits informatiques,Solutions Informatique INSO Inc.,221483.94,"221483,94","221 483,94 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,479948,5000735
2010-12-20,2010-2011,Licence pour accès aux données du web,Thomson Scientific Inc.,208517.39,"208517,39","208 517,39 $",43231512,Logiciel de gestion des licences d'utilisation,Contrat octroyé de gré à gré,Approvisionnements (biens),1,483495,5000892
2010-12-22,2010-2011,Entretien préventif et correctif de climatiseurs et de petits appareils frigorifiques dans des pavillons de l’UQAM,Honeywell Ltée,749555.0,749555,"749 555,00 $",72100000,"Services de construction, de réparation et d'entretien d'immeubles",Contrat adjugé suite à un appel d'offres public,Travaux de construction,5,459216,K1-0825A(LI)
2010-12-22,2010-2011,Service de physiothérapie,Kinatex Sports Physio Mobile Inc.,35437.43,"35437,43","35 437,43 $",42250000,"Produits de physiothérapie, d'ergothérapie et de réadaptation",Contrat octroyé de gré à gré,Approvisionnements (biens),1,485387,5000894
2010-12-23,2010-2011,Serveur informatique,Azuris Technologies Inc.,24464.01,"24464,01","24 464,01 $",43211501,Serveurs d'ordinateur,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,482404,3001369
2011-01-05,2010-2011,Equipements audiovisuel,Cinequipwhite Inc.,28460.0,28460,"28 460,00 $",52161500,Équipement audiovisuel,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,482390,3001379
2011-01-11,2010-2011,Achat d’un système HPLC-MS/MS de type quadripôle-trappe,Applied Biosystems (Canada),412792.28,"412792,28","412 792,28 $",41100000,Équipement de laboratoire,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),1,356399,C0-1573A(JP)
2011-01-11,2010-2011,"Ramassage, transport et dépôt au dépotoire des déchets et matériaux secs des pavillons de l’Université ; Contrat de 3 ans avec prolongation possible d",RCI Environnement Inc.,180000.0,180000,"180 000,00 $",76120000,Élimination et traitement des déchets,Contrat adjugé suite à un appel d'offres public,Services,5,466328,K1-1044A(LI)
2011-01-14,2010-2011,Short-pulse laser Ablation System.,Isomass Scientific Inc.,126294.0,126294,"126 294,00 $",42294920,Instruments au laser ou accessoires endoscopiques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,483280,3001509
2011-01-17,2010-2011,Achat d'ordinateurs et moniteurs HP,CPU Design Inc,36200.0,36200,"36 200,00 $",32000000,Composante et accessoire électronique et électrique,Contrat octroyé de gré à gré,Approvisionnements (biens),1,483265,3001534
2011-01-18,2010-2011,Éclairage Quartier des spectacles,Mofax Electrique Ltée,41594.44,"41594,44","41 594,44 $",72102200,Services d'électricité,Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,483692,P10001HH02
2011-01-25,2010-2011,Semiconductor device analyzer,Agilent Technologies Canada Inc.,41069.28,"41069,28","41 069,28 $",32111700,Dispositif à semi-conducteur,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,484482,3001623
2011-01-25,2010-2011,Pièces pour humidificateur,Preston Phipps Inc.,57055.08,"57055,08","57 055,08 $",40101903,Humidificateur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,486240,5000877
2011-01-25,2010-2011,Achat de logiciels et produits informatiques,Solutions Informatiques INSO Inc.,25845.56,"25845,56","25 845,56 $",32000000,Composante et accessoire électronique et électrique,Contrat octroyé de gré à gré,Approvisionnements (biens),1,484481,3001632
2011-01-26,2010-2011,Short-Pulse Laser Ablation System,Stephen Shuttleworth Photon Machines ,201111.2,"201111,2","201 111,20 $",41115307,Lasers,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,474522,7000004
2011-01-28,2010-2011,Pièces pour humidificateur,Aireau Qualite Controle Inc.,39499.67,"39499,67","39 499,67 $",40101903,Humidificateur,Contrat octroyé de gré à gré,Approvisionnements (biens),1,485172,5000876
2011-01-31,2010-2011,Matériel de laboratoire,La Compagnie Scientifique Ealing Ltée,31975.0,31975,"31 975,00 $",41100000,Équipement de laboratoire,Contrat octroyé de gré à gré,Approvisionnements (biens),1,486244,3001761
2011-02-02,2010-2011,Remplacement de caniveau,Simac Électrotechnique Inc.,53950.0,53950,"53 950,00 $",21101510,Conduite ou tuyau d'irrigation,Contrat octroyé de gré à gré,Approvisionnements (biens),1,486269,3001808
2011-02-02,2010-2011,Module d'analyse,Biopac Systems Canada Inc.,32000.0,32000,"32 000,00 $",41113100,Instrument d'analyse et de contrôle des gaz,Contrat octroyé de gré à gré,Approvisionnements (biens),1,486248,3001792
2011-02-03,2010-2011,Equipement audiovisuel,Applied Électroniques Ltée,45946.0,45946,"45 946,00 $",52161500,Équipement audiovisuel,Contrat octroyé de gré à gré,Approvisionnements (biens),1,486183,3001793
2011-02-07,2010-2011,Travaux aux infrastructures électromécaniques en vue de l’optimisation et de l'ajout de hottes dans le bâtiment de Chimie et Biochimie (CB) - phase 2,Les Entreprises de Réfrigération L.S. (1997) Inc.,121429.79,"121429,79","121 429,79 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres public,Travaux de construction,3,473831,P09019CB
2011-02-08,2010-2011,Entretien préventif des équipements de manutention,Belmont Lift Inc.,65832.79,"65832,79","65 832,79 $",25191513,Nécessaires d'entretien pour véhicule de soutien terrestre,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,486770,5000872
2011-02-08,2010-2011,Service de réparation de chaudières,L C Combustion Inc.,61443.93,"61443,93","61 443,93 $",72102301,"Installation, réglage, entretien ou réparation de chaudières",Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,487496,5000870
2011-02-08,2010-2011,Licence de télésurveillance,Altel Inc.,29975.0,29975,"29 975,00 $",43232801,Logiciel de surveillance du réseau,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,487473,5000907
2011-02-14,2010-2011,Achat et installation de contrôleurs DDC pour équipements électromécaniques,Honeywell Ltée,20669.74,"20669,74","20 669,74 $",40000000,"Système, équipement et composante de chauffage, ventilation et circulation d'air",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,471710,C1-01050A(PF)
2011-02-14,2010-2011,Fournir sur demande des fauteuils,Ameublement de bureau Delta Inc.,74610.49,"74610,49","74 610,49 $",56101522,Fauteuils,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,488650,7000010
2011-02-14,2010-2011,Fournir des licences,Oracle Canada ULC,84298.82,"84298,82","84 298,82 $",43231512,Logiciel de gestion des licences d'utilisation,Contrat octroyé de gré à gré,Approvisionnements (biens),1,487950,5000947
2011-02-14,2010-2011,Achat d'ordinateurs iMac,Solutions Informatiques INSO Inc.,27760.0,27760,"27 760,00 $",43211508,Ordinateurs de table,Contrat octroyé de gré à gré,Approvisionnements (biens),1,488642,3001936
2011-02-16,2010-2011,Mobilier de rangement en métal,Groupe Lincora Inc.,87777.05,"87777,05","87 777,05 $",56100000,Ameublement de maison et de bureau,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),3,482710,7000011
2011-02-18,2010-2011,"Achat de produits CISCO et main-d’œuvre nécessaire à leur installation, pour une durée de 8 mois",Bell Canada,658327.85,"658327,85","658 327,85 $",43220000,"Équipement de réseau, données, voix ou multimédia ou plateformes et accessoires",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,483524,7000005
2011-02-18,2010-2011,Disques durs,C.P.U. Design Inc.,76776.0,76776,"76 776,00 $",40151717,Disques,Contrat octroyé de gré à gré,Approvisionnements (biens),1,489564,3002027
2011-02-24,2010-2011,NMR Highfield Enhanced System,Agilent Technologies Inc.,34800.0,34800,"34 800,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,490448,3002172
2011-02-25,2010-2011,Entretien de pompes et ventilateurs,Entreprises Électriques L.M. Inc.,44000.0,44000,"44 000,00 $",76000000,Services de nettoyage industriel,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,489995,5000865
2011-02-25,2010-2011,Caisses enregistreuses informatisées,Pos Terminal 2000 Inc.,39000.0,39000,"39 000,00 $",44101804,Caisses enregistreuses,Contrat octroyé de gré à gré,Approvisionnements (biens),1,489987,3002143
2011-02-28,2010-2011,"Achat, sur demande, d'acier",Acier Tag Inc.,43900.0,43900,"43 900,00 $",30000000,"Composante et fourniture de structure, de bâtiment et de construction",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,490003,5000864
2011-02-28,2010-2011,Achat du logiciel DABO,IFCS Informatique Inc.,72850.0,72850,"72 850,00 $",43230000,Logiciels,Contrat octroyé de gré à gré,Approvisionnements (biens),1,489999,5000939
2011-03-01,2010-2011,Achat de magnétoscopes numériques,C.E.V. Inc.,60242.0,60242,"60 242,00 $",52161545,Magnétoscope numérique,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,490474,3002178
2011-03-01,2010-2011,Pièces pour variateur de vitesse,Entreprises Électriques L.M. Inc.,57100.0,57100,"57 100,00 $",30000000,"Composante et fourniture de structure, de bâtiment et de construction",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,490414,5000858
2011-03-01,2010-2011,Fournir sur demande du matériel et de l'outillage,Distributions JLG Inc.,39500.0,39500,"39 500,00 $",30000000,"Composante et fourniture de structure, de bâtiment et de construction",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,490235,5000866
2011-03-01,2010-2011,Outillages,Outil Pac Inc.,26400.0,26400,"26 400,00 $",30000000,"Composante et fourniture de structure, de bâtiment et de construction",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,490420,5000867
2011-03-02,2010-2011,"Fournir, sur demande, des services d'électriciens – Contrat de 3 ans",Mofax Électrique Ltée,834000.0,834000,"834 000,00 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres public,Travaux de construction,6,486652,7000026
2011-03-02,2010-2011,"Réparation-installation, sur demande, de revêtements de planchers; contrat de 3 ans.",Tapis Solution Inc.,790000.0,790000,"790 000,00 $",72102700,Services de pose de revêtements de plancher (couvre-planchers et parquets),Contrat adjugé suite à un appel d'offres public,Travaux de construction,2,486256,7000029
2011-03-02,2010-2011,Pièces de télésurveillance et main-d'oeuvre,Panavidéo,351500.0,351500,"351 500,00 $",46000000,"Équipement et fournitures de défense, de maintien de l'ordre et de sécurité",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),11,483902,7000022
2011-03-02,2010-2011,Installation et réparation de mobilier de laboratoire; contrat de 3 ans,Les Entreprises Marc Girard Inc.,167000.0,167000,"167 000,00 $",30222307,Bâtiments de laboratoire,Contrat adjugé suite à un appel d'offres public,Travaux de construction,1,479450,7000008
2011-03-03,2010-2011,Achat d'une oeuvre d'art,Altmejd David,30000.0,30000,"30 000,00 $",56000000,Ameublement et articles d'ameublement,Contrat octroyé de gré à gré,Approvisionnements (biens),1,491332,3002256
2011-03-08,2010-2011,Appareil de mesure des signaux HD,Applied Électroniques Ltée,38525.0,38525,"38 525,00 $",52161500,Équipement audiovisuel,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,491561,3002264
2011-03-08,2010-2011,Licence McAfee,Softchoice Corporation 3 Soft,37484.5,"37484,5","37 484,50 $",43230000,Logiciels,Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,491555,5000990
2011-03-10,2010-2011,Entretien ménager,Société d'Entretien Albis Inc.,79000.0,79000,"79 000,00 $",76110000,Services de nettoyage et d'entretien,Contrat octroyé de gré à gré,Services,1,492808,5000994
2011-03-11,2010-2011,"Programmation de systèmes de contrôle d'accès, d'alarme intrusion, etc. de marque Andover – Entente de 2 ans",Altel Inc.,570550.0,570550,"570 550,00 $",46000000,"Équipement et fournitures de défense, de maintien de l'ordre et de sécurité",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),1,486769,7000027
2011-03-14,2010-2011,Fourniture sur demande de fauteuils de travail et main-d'oeuvre nécessaire à leur réparation.  Contrat de 3 ans.,ADI Art Design Int. Inc.,263500.0,263500,"263 500,00 $",56101522,Fauteuils,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),4,484323,7000025
2011-03-14,2010-2011,Armoire de gradateur d'éclairage,Prisma-Scène Inc.,28881.0,28881,"28 881,00 $",39000000,"Composantes, accessoires et fournitures pour systèmes électriques et d'éclairage",Contrat octroyé de gré à gré,Approvisionnements (biens),1,492543,3002344
2011-03-15,2010-2011,GPS Solar,North Star Science & Technology LLC,46600.0,46600,"46 600,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,494165,3002474
2011-03-16,2010-2011,Acquisition et support d'un logiciel McAfee de gestion des vulnérabilités,Converge Net 2006 Inc.,97600.0,97600,"97 600,00 $",43230000,Logiciels,Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),2,489019,7000012
2011-03-21,2010-2011,"Campus Est, Lot 1 Hiver 2011",JCB Entrepreneurs Généraux inc.,56784.0,56784,"56 784,00 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,527639,P11005HH02
2011-03-21,2010-2011,"Récupération espaces libérés au DS3-4 et W-3, N7-8(peinture)",Entrepreneurs peintres F.V.G. inc.,33000.0,33000,"33 000,00 $",72000000,"Services - bâtiment, construction et entretien",Contrat adjugé suite à un appel d'offres sur invitations,Travaux de construction,1,527648,P11008HH01
2011-03-24,2010-2011,Achat d'ordinateurs et de moniteurs,Hypertechnologie Ciara Inc.,28588.0,28588,"28 588,00 $",43211508,Ordinateurs de table,Contrat octroyé de gré à gré,Approvisionnements (biens),1,494120,3002496
2011-03-25,2010-2011,Systems to assess (capture) whole-body movement suing sensors 3D accelerometers...,Animazoo UK,172000.0,172000,"172 000,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),1,486775,7000032
2011-03-25,2010-2011,Achat de 20 spectrophotomètres ,VWR international Co.,34400.0,34400,"34 400,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,494609,3002521
2011-03-25,2010-2011,Distributeur de papier,Lalema Inc.,32038.5,"32038,5","32 038,50 $",30000000,"Composante et fourniture de structure, de bâtiment et de construction",Contrat adjugé suite à un appel d'offres sur invitations,Approvisionnements (biens),1,494577,3002523
2011-03-25,2010-2011,Mise à jour de l'infrastrusture techno. de École Médias au SAV,Pageau Morel et Associés,43584.0,43584,"43 584,00 $",86131504,Analyse des médias,Contrat octroyé de gré à gré,Services,1,495093,P11006JJ-02
2011-03-25,2010-2011,Mise à jour de l'infrastrusture techno. de École Médias au SAV,Provencher Roy + Associés architectes,35393.0,35393,"35 393,00 $",86131504,Analyse des médias,Contrat octroyé de gré à gré,Services,1,495103,P11006JJ01
2011-03-28,2010-2011,Achat de moniteurs et d'ordinateurs,Hypertechnologie Ciara Inc.,28759.0,28759,"28 759,00 $",43211500,Ordinateurs,Contrat octroyé de gré à gré,Approvisionnements (biens),1,494678,3002547
2011-03-29,2010-2011,Micro-ordinateur Apple,Solutions informatiques INSO Inc.,33900.0,33900,"33 900,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat octroyé de gré à gré,Approvisionnements (biens),1,495038,3002557
2011-03-31,2010-2011,Réfection du bloc central au pavillon V,Entreprise de Construction TEQ inc.,2983467.9,"2983467,9","2 983 467,90 $",72102801,Rénovation d'immeubles ou de lieux historiques ou de monuments,Contrat adjugé suite à un appel d'offres public,Travaux de construction,4,486461,P09032VV
2011-03-31,2010-2011,Entretien d'un ultra-congélateur scientifique,Cryotech Div. Groupe St-Germain Ltée,35200.0,35200,"35 200,00 $",81000000,"Services reliés au génie, à l'architecture, à la recherche aux sciences et à la technologie",Contrat octroyé de gré à gré,Services,1,495491,5001030
2011-03-31,2010-2011,Service d'entretien pour des équipements de stationnements,Entretien Électronique Controlas Inc.,35150.0,35150,"35 150,00 $",72102903,Services d'entretien ou de réparations pour terrain de stationnement,Contrat octroyé de gré à gré,Services,1,495495,5000995
2011-04-04,2011-2012,Ajout de forages,Groupe Puitbec,25000.0,25000,"25 000,00 $",20122820,Installations de forage terrestres,Contrat octroyé de gré à gré,Approvisionnements (biens),1,495787,3002667
2011-04-05,2011-2012,Entretien de génératrices,Entreprises Électriques L.M. Inc.,31000.0,31000,"31 000,00 $",76000000,Services de nettoyage industriel,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,496957,5000863
2011-04-06,2011-2012,Achat de pièces de système de contrôle d'accès et d'alarme intrusion et main-d'oeuvre,Alpha TSi Inc.,263350.0,263350,"263 350,00 $",46000000,"Équipement et fournitures de défense, de maintien de l'ordre et de sécurité",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),4,491558,7000043
2011-04-11,2011-2012,Achat d'équipements – serveurs Dell,Open Storage Solutions,92600.0,92600,"92 600,00 $",43000000,"Technologies de l'information, radiodiffusion et télécommunications",Contrat adjugé suite à un appel d'offres public,Approvisionnements (biens),1,488910,7000037
2011-04-12,2011-2012,Service de nettoyage,M.J. Net (9069-3441 Québec Inc.),61500.0,61500,"61 500,00 $",76111501,Services de nettoyage d'immeubles,Contrat adjugé suite à un appel d'offres sur invitations,Services,1,497466,5000885
2011-04-13,2011-2012,Achat de 8 sismomètres,Nanometrics Inc.,174000.0,174000,"174 000,00 $",41000000,"Équipement de laboratoire, de mesure, d'observation et d'essai",Contrat octroyé de gré à gré,Approvisionnements (biens),1,497885,3002806
